Nomenclatura 	Classe	Grupo	Fórmula Química	Também conhecido por:	Variedades	Clivagem	Dureza	Fratura	Densidade	Tenacidade	Diafaneidade (transparência)	Traço	Brilho	Cor 	Hábito (é a forma ou conjunto de formas que um mineral pode assumir, aparência do mineral.)	Onde esse mineral está no cotidiano?	Outras informações relevantes (Solubilidade, Deliquescência, Radioatividade, Sabor, Cheiro, Magnetismo)	Classe Cristalina (Classificação do formato do cristal)	Curiosidades 
Calcita amarela	Carbonatos	Grupo da Calcita	CaCO₃	Calcita		Clivagem romboédrica perfeita {10̅11} (ângulo da clivagem = 74º55’)	3	Conchoidal	2,71g/cm³	Quebradiço	Opaco, Transparente	Branco	Nacarado, vítreo	Laranja, Azul, Verde, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Rosa	Normalmente ocorre como cristais ou como agregados de grânulos grossos e finos. Também em estalactites, estalagmites e concreções, em massas de granulação fina a compacta ou terrosas. Cristaliza-se com grande variedade de formas (mais de 300 conhecidas).	Acessorios: produz pingentes azuis para acassorios como colares, brincos e pulseiras; Usos espirituais e religiosos.	Efervescência no ácido clorídrico (HCl) frio.	Escalenoédrica hexagonal 	Principal constituinte dos calcários e mármores, tem o cálcio como principal elemento formador e possui alta pureza e alvura.  Distingue-se da dolomita pela efervescência em ácido clorídrico (HCl), e da aragonita por ter menor densidade e clivagem  romboédrica
Calcita Branca	Carbonatos	Grupo da Calcita	CaCO₃	Longarina da Islândia		Clivagem romboédrica perfeita {10̅11} (ângulo da clivagem = 74º55’)	3	conchoidal	2,71g/cm³	Quebradiço	Opaco	Branco  	nacarado, vítreo	Laranja, Azul, Verde, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Rosa	Normalmente ocorre como cristais ou como agregados de grânulos grossos e finos. Também em estalactites, estalagmites e concreções, em massas de granulação fina a compacta ou terrosas. Cristaliza-se com grande variedade de formas (mais de 300 conhecidas).	Construção civil: utilizado na fabricação de cimentos, cal e argamassa; Agricultura: corretor de pH em solos ácidos; Usos espirituais e religiosos.	Efervescência no ácido clorídrico (HCl) frio.	Escalenoédrica hexagonal	Pode apresentar fluorescência em vermelho, azul, amarelo e outras cores sob luz UV de ondas curtas e longas. É fosforescente, catodoluminescente, termoluminescente, raramente triboluminescente. 
Calcita Óptica	Carbonato	Grupo da Calcita	CaCO₃	Calcita transparente, longarina da Islândia, ou espato de Islândia.		Romboédrica perfeita {10-11}, com ângulos de 60 e 120º entre si.	3	Conchoidal.	2,71g/cm³	Quebradiço	Transparente	Branco	Vítreo	Transparente	Normalmente ocorre como cristais ou como agregados de grânulos grossos e finos. Também em estalactites, estalagmites e concreções, em massas de granulação fina a compacta ou terrosas. Cristaliza-se com grande variedade de formas (mais de 300 conhecidas).	Instrumentos ópticos: lentes que polarizam a luz (deixam somente uma parte da luz passar) e produção do dicroscópio (ferramenta utilizada na identificação de pedras preciosas); Aplicações cientificas: Parte de chips de computadores quanticos e material de ensino de propriedades ópticas como birrifringencia. Usos espirituais e religiosos.	Efervescência no ácido clorídrico (HCl) frio.	Hexagonal	 Uma variedade transparente de calcita conhecida como espato da Islândia pode ter sido usada pelos vikings para navegar em dias nublados. Um cristal muito puro de calcita pode dividir um feixe de luz solar em duas imagens, pois a luz polarizada se desvia ligeiramente do feixe principal. Ao observar o céu através do cristal e, em seguida, girá-lo para que as duas imagens tenham a mesma luminosidade, os anéis de luz polarizada que cercam o sol podem ser vistos mesmo sob céus nublados. Identificar a localização do sol daria aos navegadores um ponto de referência para navegar em suas longas viagens marítimas. 
Calcita variação azul	Carbonatos	Grupo da Calcita	CaCO₃	Calcita		Clivagem romboédrica perfeita {10̅11} (ângulo da clivagem = 74º55’)	3	Conchoidal	2,71g/cm³	Quebradiço	Opaco, Transparente	Branco	Nacarado, vítreo	Laranja, Azul, Verde, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Rosa	Normalmente ocorre como cristais ou como agregados de grânulos grossos e finos. Também em estalactites, estalagmites e concreções, em massas de granulação fina a compacta ou terrosas. Cristaliza-se com grande variedade de formas (mais de 300 conhecidas).	Acessorios: produz pingentes azuis para acassorios como colares, brincos e pulseiras; Usos espirituais e religiosos.	Efervescência no ácido clorídrico (HCl) frio.	Escalenoédrica hexagonal 	Principal constituinte dos calcários e mármores, tem o cálcio como principal elemento formador e possui alta pureza e alvura.  Distingue-se da dolomita pela efervescência em ácido clorídrico (HCl), e da aragonita por ter menor densidade e clivagem  romboédrica
Calcita variação verde	Carbonatos	Grupo da Calcita	CaCO₃	Calcita		Clivagem romboédrica perfeita {10̅11} (ângulo da clivagem = 74º55’)	3	Conchoidal	2,71g/cm³	Quebradiço	Opaco, Transparente	Branco	Nacarado, vítreo	Laranja, Azul, Verde, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Rosa	Normalmente ocorre como cristais ou como agregados de grânulos grossos e finos. Também em estalactites, estalagmites e concreções, em massas de granulação fina a compacta ou terrosas. Cristaliza-se com grande variedade de formas (mais de 300 conhecidas).	Acessorios: produz pingentes azuis para acassorios como colares, brincos e pulseiras; Usos espirituais e religiosos.	Efervescência no ácido clorídrico (HCl) frio.	Escalenoédrica hexagonal 	Principal constituinte dos calcários e mármores, tem o cálcio como principal elemento formador e possui alta pureza e alvura.  Distingue-se da dolomita pela efervescência em ácido clorídrico (HCl), e da aragonita por ter menor densidade e clivagem  romboédrica
Calcopirita e Pirita em Mármore	Sulfetos	Grupo da Calcopirita	CuFeS₂	-	-	Duas direções de clivagem fracas {011} e {111}.	3,5 - 4,0	Irregular	4,10g/cm³  4,30g/cm³	Quebradiço	Opaco	Preto, Cinza escuro, Preto esverdeado	Metálico	Amarelo latão	Normalmente maciço, às vezes botroidal. Os cristais são normalmente pseudo-tetraédricos, com faces esfenoidais presentes. Frequentemente os cristais são equidimensionais, modificados por faces escalenoédricas, sendo raros os cristais tetragonais estriados. As faces esfenoidais {112} são normalmente grandes e estriadas || [1̅10], e as faces {̅112} são pequenas e brilhantes. Possui geminação lamelar segundo {112}, {012}, {110}; geminação de deformação em {110} e {012}, podendo ter ainda geminação de interpenetração		Solúvel em HNO3 com efervescência, formando solução verde, com resíduo de S.	Escalenoédrica tetragonal 	É parecida com o ouro, a pirrotita, a pirita e a marcassita, diferenciando-se destes minerais pela dureza, densidade, cor e traço.
Cianita variação preta	Silicato	Nesossilicato	Al₂SiO₅	Cianita; vassoura de bruxa, vassourinha		Perfeita {100}	5 - 7	Estilhaçada	3,55g/cm³  3,66g/cm³	Quebradiço	Vítreo a nacarado	Branco	Nacarado ou vítreo.	Cinza clara, branca, azul, verde, raramente rosa, amarela, laranja, vermelho a preto. Zonação é possível.	Cristais tabulares ou em lâminas, frequentemente deformados. Raramente fibroso ou porfiroblástico com “textura de peneira”.	Industria vidreira: fonte de alumina um componente estabilizante que confere maior resistência térmica, elétrica e mecânica que é utilizado nos vidros aluminossilicatos.	-	Pinacoidal 	Seu nome vem da mesma origem da cor ciano, sendo derivado da palavra grega antiga κύανος. Isso é tipicamente traduzido para o inglês como kyanos ou kuanos e significa "azul escuro".
Cianita variação verde	Silicatos	Nesossilicato	Al₂SiO₅	Cianita 		Perfeita {100}	5 - 7	Estilhaçada	3,55g/cm³  3,66g/cm³	Quebradiço	Vítreo a nacarado	Branco	Nacarado ou vítreo.	Cinza clara, branca, azul, verde, raramente rosa, amarela, laranja, vermelho a preto. Zonação é possível.	Cristais tabulares ou em lâminas, frequentemente deformados. Raramente fibroso ou porfiroblástico com “textura de peneira”.		-	Pinacoidal 	Seu nome vem da mesma origem da cor ciano, sendo derivado da palavra grega antiga κύανος. Isso é tipicamente traduzido para o inglês como kyanos ou kuanos e significa "azul escuro".
Citrino	Silicatos	Tectossilicato	SiO₂ (a cor amarela é atribuida por impurezas férricas)	Citrino natural, Quartzo citrino		Sem clivagem. Pode apresentar clivagem muito ruim, raramente observável.	7	Conchoidal	2,65g/cm³	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo, graxo	Amarelo	        Maciça em diferentes granulações, cristais prismáticos (com faces estriadas, as vezes geminados) ou compacto		Solúvel em HF	Trapezoédrica trigonal 	Às vezes, o citrino e a ametista podem ser encontrados juntos no mesmo cristal, que é então chamado de Bolivianita.
Corindon variação Rubi	Óxidos	Grupo da Hematita	Al₂O₃ (sua cor vermelha é atribuída à presença de impurezas de Cromo)	-		Sem clivagem	9	Conchoidal, irregular	3,98g/cm³  4,10g/cm³	Quebradiço, tenaz	Transparente.	Branco	Vítreo, perláceo, adamantino.	Laranja, Vermelho, Azul, Marrom, Branco, Amarelo, Incolor, Cinza, Rosa.	Maciço, prismático ou piramidal, pode ser em forma de barril. Raramente tabular, romboédrico ou granular		-	Escalenoédrica Hexagonal	Para a produção de joias z qualidade de um rubi é determinada pela sua cor, corte e clareza, que, juntamente com o peso em quilates, afetam o seu valor.
Drusa de quartzo	Silicatos	Tectossilicato	SiO₂	Cristal; Druza de quartzo laser		Sem clivagem. Pode apresentar clivagem muito ruim, raramente observável.	7	Conchoidal	2,65g/cm³	Quebradiço	Opaco, Transparente	Branco	fosco, vítreo, graxo	Azul, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Púrpura	        Maciça em diferentes granulações, cristais prismáticos (com faces estriadas, as vezes geminados) ou compacto.		Solúvel em HF	Trapezoédrica trigonal	O quartzo é relativamente duro e tem a propriedade de quebrar com bordas afiadas se for submetido a um estresse mecânico forte e breve. Portanto, este mineral em suas diversas manifestações, incluindo hornfels , quartzitos e principalmente sílex , foi utilizado como matéria-prima para muitas ferramentas e armas pelos representantes da espécie humana já no período paleolítico
Enxofre	Elementos Nativos	-	S ou S₈	-		Sem clivagem	1,5 - 2,5	Conchoidal a desigual (frágil).	2,05g/cm³ 2,09g/cm³	Quebradiço	Transparente	Branco	Resinoso	Amarelo, com variação da tonalidade para amarelo-esverdeado, acinzentando e avermelhado. Transparente a translúcido.	Piramidal, bipiramidal, prismático. Comumente em massas irregulares e cristalizados imperfeitamente. Também como massas reniformes, maciças, estalactíticas, como incrustações, terrosas.	Aplicações farmacêuticas: princípio ativo de medicamentos dermatológicos.  Aplicações cosméticas: cremes protetores e renovadores da pele e produtos para cabelo.  Utilizado desde os tempos das civilizações egípcias, chinesas e gregas para pigmentação, preparação de banhos de purificação em rituais religiosos, tratamento de pele, como componente da pólvora etc. 	Odor característico de ovo podre Solúvel em acetona, insolúvel em água	Bipiramidal rômbica	O enxofre é utilizado na produção de pólvora negra, como enxofre nitroso em fogos de artifício ou em outros explosivos .
Epidoto variação verde	Silicatos	Sorossilicato	Ca₂Al₂(Fe₃+,Al)O(SiO₄)(Si₂O₇)(OH)  ou  Ca₂(Fe,Al)Al₂(SiO₄)(Si₂O₇)O(OH)	Epidoto		Duas direções, uma perfeita {001} (pinacoidal) e uma imperfeita {100}.	6,0 - 7,0	Irregular	3,35g/cm³-3,50g/cm³	Quebradiço	Opaco, Translúcido	Branco acinzentado	Nacarado, resinoso, vítreo	Verde, Verde claro, Amarelo, Cinza, Preto, Verde pistache	Granular, tabular, prismático, fibroso e/ou em massas informes, granulares e agregados colunares, às vezes, com disposições radiais. Os cristais são de hábito prismático segundo o eixo “b”, com estriações ‖ [010]. Em lâmina delgada ocorrem na forma de cristais euedrais a anedrias (irregulares), alongados segundo o eixo “b”. A seção transversal dos cristais é pseudo-hexagonal (100 ∧ 001) = 64º37´. Possui geminação comum em {100}, de contato, lamelar.		Parcialmente decomposto em ácido clorídrico (HCl).	Prismática 	É um dos componentes da rocha unakita, que é uma rocha metamórfica composta por granito alterado composto de feldspato ortoclásio rosa, epídoto verde e quartzo geralmente incolor
Escolecita	Silicatos	Tectossilicato	CaAl₂Si₃O₁₀·3H₂O	-		Duas direções de clivagem perfeitas {110} e {1̅10}	5,0 - 5,5	Irregular	2,25g/cm³-2,29g/cm³	Quebradiço	Transparente, Translúcido	Branco	Acetinado, vítreo, sedoso	Branco, Incolor	Normalmente ocorre como agregados fibrosos e radiais. Nodular ou maciço. Os cristais são prismáticos compridos a aciculares (delgados com forma de agulha), podem ter seção transversal quadrada, alongados e estriados ‖ [001]. Possui geminação em {100}, com eixo de geminação [001], comum, como contato ou penetração.		Pode fluorescer de amarelo a marrom sob SW e LW UV.                                                                        É Piroelétrico e piezelétrico E solúvel em ácido clorídrico (HCl).	Domática	A escolecita é piezoelétrica, propriedade relacionada a capacidade de gerar corrente elétrica ao ser submetido sob pressão mecânica.
Esfalerita associada à Galena	Sulfetos	Grupo da Esfalerita	Esfalerita: ZnS ou (Zn,Fe)S  Galena: PbS	Esfarelita; sulfeto de zinco cubico; blenda com galena		Perfeita em {011} (dodecaédrica).	3,5 - 4,0	Conchoidal	3,90g/cm³     4,10g/cm³	Quebradiço	Opaco, Transparente, Translúcido	Marrom, Branco, Amarelo claro	Adamantino, resinoso	Verde, Marrom, Branco, Amarelo, Preto	A esfalerita em altas temperaturas e/ou com grande quantidade de FeS, adquire a estrutura hexagonal. Normalmente ocorre como massas de granulação grossa ou fina, susceptíveis de clivagem. Granular, maciço. Também fibroso, botroidal, estalactítico ou criptocristalino. Os cristais são normalmente tetraédricos, dodecaédricos, às vezes complexos e torcidos, mal formados, curvados e com faces cônicas, de até 30 cm, menos comum cúbicos. Também fibroso, botroidal, estalactítico, clivável, granular, maciço, cripstocristalino. Possui geminação com eixo {111} e plano de geminação {211}; geminação simples de contato ou com formas lamelares complexas.		-	Hexatetraédrica 	A esfalerita é um importante minério de zinco; Cerca de 95% de todo o zinco primário é extraído do minério de esfalerita.
Estibilita	Silicatos	Tectossilicato	(NaCa₄[Al₉Si₂₇O₇₂]·nH₂O)	Apofilita e Estilbita		{010} perfeita.	3,5 - 4,0	Irregular	2,10g/cm³-2,20g/cm2	Quebradiço.	Transparente, Translúcido	Branco	Nacarado, vítreo	Branca, incolor, amarelada, creme, laranja, marrom claro a escuro, laranja, rosa.	Tabular fino, em feixes ou agregados radiais. 		Solúvel em ácido clorídrico (HCl).	Prismática	Não possui importância econômica além de mineral de coleção.
Estilbita	Silicatos	Tectossilicato	NaCa₂Al₅Si1₃O₃₆·14H₂O ou NaCa₄[Al₈Si₂₈O₇₂]·n(H₂O) n = 28 - 32	-		Uma direção de clivagem perfeita {010}	3,5 - 4,0	Irregular	2,10g/cm³-2,20g/cm³	Quebradiço	Transparente, Translúcido	Branco	Nacarado, vítreo	Laranja, Vermelho, Branco, Amarelo, Marrom escuro, Marrom claro, Rosa	Forma massas radiais e agregados semelhantes a feixes de cor branca. Os cristais são tipicamente tabulares achatados em [010]. Possui geminação cruziforme e de penetração.		Solúvel em ácido clorídrico (HCl).	Prismática	Não possui importância econômica além de mineral de coleção.
Feldspato	Silicatos	Tectossilicato	(K, Na Ca) (Si, Al)₄ O₈)	-		clivagem perfeita ou boa, (001) ∧ (010) = 92º-94º (plagioclásios), (001) ∧ (010) = 90º ou ~90º (feldspatos potássicos).	6,0 - 6,5	Conchoidal, irregular	2,54g/cm³  2,76g/cm³	Quebradiço	Transparente, Translúcido	Branco	Nacarado, vítreo	Variável	São minerais comuns na maioria das rochas ígneas (plutônicas, hipoabissais e vulcânicas), metamórficas (de baixo a alto grau) e sedimentares (como mineral detrítico ou autígeno). Quimicamente podem ser divididos em três grupos: i) feldspatos potássicos (sanidina, ortoclásio, microclínio), ii) grupo dos feldspatos sódico-cálcicos (albita, oligoclásio, andesina, labradorita, bytownita, anortita), iii) grupo dos feldspato de bário (hialofana, celsiana).	Reduz a temperatura de fusão das massas. Porcelanas de mesa: 17% a 20% de feldspato; Pisos cerâmicos esmaltados: 55% a 60%; Porcelanas elétricas: 25% a 35%; Porcelanas de forno (assadeiras): 10% e Azulejos: 0 a 11%. Uma embalagem de vidro típica (vidros do tipo Soda-Cal) é produzida com 8% de feldspato, ao passo que vidros aluminosos especiais (eg. fibras de vidro), mais resistentes e duráveis, são confeccionados com 18% desse recurso.  Usado em quantidades menores para a fabricação de soldas. 	-	Prismática, Pinacoidal	Seu nome vem do alemão feld, campo; e spat, uma rocha que não contém minério.  As reservas Brasileiras de feldspato totalizam aproximadamente 116 milhões de tonelada.
